"city","zone","district","name","alias","types","address","wgs84aX","wgs84aY"
"新北市","板橋分區","板橋區","新北市板橋區中山國民小學","中山國小","國小,幼兒園,一般,公立","新北市板橋區大觀路二段59巷31號",121.447686,25.002304
"新北市","板橋分區","土城區","新北市私立森林幼兒園","森林幼兒園","一般,幼兒園,私立","",NA,NA
"新北市","雙和分區","永和區","新北市私立秀明幼兒園","私立秀明幼兒園","幼兒園,一般,私立","新北市永和區民權路1巷24.26號",121.521564,24.998119
"新北市","三鶯分區","樹林區","新北市樹林區三多國民小學","三多國小","國小,幼兒園,一般,公立","新北市樹林區三福街52號",121.406436,25.016363
"新北市","雙和分區","永和區","新北市私立嘉樂幼兒園","私立嘉樂幼兒園","幼兒園,一般,私立","新北市永和區中和路501巷17號",121.510315,25.002992
"新北市","板橋分區","土城區","新北市私立米亞藝術幼兒園","米亞藝術幼兒園","一般,幼兒園,私立","",NA,NA
"新北市","板橋分區","板橋區","新北市板橋區實踐國民小學","實踐國小","國小,幼兒園,一般,公立","新北市板橋區實踐路93巷51號",121.466392,25.005017
"新北市","文山分區","新店區","新北市私立三愛幼兒園","私立三愛幼兒園","幼兒園,一般,私立","新北市新店區安民街269巷14號1樓",121.516561,24.973207
"新北市","板橋分區","土城區","新北市私立奇士華幼兒園","奇士華幼兒園","一般,幼兒園,私立","",NA,NA
"新北市","板橋分區","板橋區","新北市板橋區大觀國民小學","大觀國小","國小,幼兒園,一般,公立","新北市板橋區大觀路一段30號",121.449349,25.00861
"新北市","文山分區","新店區","私立偉智幼兒園","私立偉智幼兒園","幼兒園,一般,私立","新北市新店區永業路81巷25號",121.530952,24.948831
"新北市","板橋分區","土城區","新北市私立欣和幼兒園","欣和幼兒園","一般,幼兒園,私立","",NA,NA
"新北市","板橋分區","板橋區","新北市板橋區溪洲國民小學","溪洲國小","國小,幼兒園,一般,公立","新北市板橋區金門街289號",121.430882,24.987323
"新北市","文山分區","新店區","私立三民幼兒園","私立三民幼兒園","幼兒園,一般,私立","新北市新店區民權路11巷3號",121.542507,24.982592
"新北市","板橋分區","土城區","新北市私立肯恩土城幼兒園","肯恩土城幼兒園","一般,幼兒園,私立","",NA,NA
